,wet_cell_count,diff_topo,diff_no_breach,num_breaches,mean_depth,mean_distance,mean_breach_area,total_breach_area,inundation_per_breach (m**2)
dw_0136_5,830014.0,121819.0,21603.0,5.0,-1.200889371163321,295.5868744416457,354.9671357723594,1774.835678861797,1399874.4000000001
dw_0047_1,810035.0,101840.0,1624.0,1.0,-0.3562676073005719,114.9941935462396,40.96870618817765,40.96870618817765,526176.0
dw_0086_1,809835.0,101640.0,1424.0,1.0,-1.2253440545216274,57.99707152652409,71.06636677469186,71.06636677469186,461376.0
dw_0157_3,814641.0,106446.0,6230.0,3.0,-0.5558005065787256,155.3272763574442,86.33097888496118,258.9929366548836,672840.0
dw_0128_5,829151.0,120956.0,20740.0,5.0,-1.1684638786845123,345.5854080126749,403.80406626325987,2019.0203313162992,1343952.0
dw_0026_3,821517.0,113322.0,13106.0,3.0,-1.0915464960695747,274.3221747603182,299.43540865381084,898.3062259614326,1415448.0
dw_0140_1,809525.0,101330.0,1114.0,1.0,-0.5520896587093425,89.9952607136594,49.68545277286252,49.68545277286252,360936.0
dw_0120_5,822899.0,114704.0,14488.0,5.0,-0.9239240459871076,244.7890160142384,226.16645808907802,1130.83229044539,938822.4
dw_0053_1,813144.0,104949.0,4733.0,1.0,-0.4480750182067597,353.98212621914166,158.6105476505094,158.6105476505094,1533492.0
dw_0081_4,821903.0,113708.0,13492.0,4.0,-0.9686273660417739,238.99045304367064,231.49269304082094,925.9707721632838,1092852.0
dw_0029_1,817207.0,109012.0,8796.0,1.0,-0.4959755338480185,582.9705638000258,289.1391365983982,289.1391365983982,2849904.0
dw_0291_4,821196.0,113001.0,12785.0,4.0,-1.0943651604847062,217.99053879383106,238.56125097125852,954.2450038850341,1035585.0
dw_0019_3,819658.0,111463.0,11247.0,3.0,-0.7234721392249718,274.3211885834897,198.46373713923418,595.3912114177026,1214676.0
dw_0203_3,827043.0,118848.0,18632.0,3.0,-0.8844470044859108,402.3156688254999,355.8268881504592,1067.4806644513776,2012256.0
dw_0004_5,830604.0,122409.0,22193.0,5.0,-0.9733547601124455,355.1845163351448,345.72053969304983,1728.6026984652492,1438106.4000000001
dw_0218_5,829231.0,121036.0,20820.0,5.0,-1.0231432059384076,314.9862082021125,322.2759988862921,1611.3799944314605,1349136.0
dw_0271_3,828528.0,120333.0,20117.0,3.0,-0.8673593552538508,469.6473497890119,407.3530225096771,1222.0590675290314,2172636.0
dw_0179_3,814518.0,106323.0,6107.0,3.0,-0.5593136746156216,162.9938720685764,91.164701526504,273.494104579512,659556.0
dw_0132_3,825411.0,117216.0,17000.0,3.0,-1.2208293875947491,335.65206085815,409.7738999023707,1229.3216997071122,1836000.0
dw_0244_2,820283.0,112088.0,11872.0,2.0,-0.5029806952586704,379.4840324658994,190.87314248926194,381.7462849785239,1923264.0
dw_0069_1,810907.0,102712.0,2496.0,1.0,-0.4686819946593567,189.9899948370221,89.0448897455364,89.0448897455364,808704.0
dw_0123_1,809885.0,101690.0,1474.0,1.0,-0.7258911089748631,85.99565778178095,62.42348339423979,62.42348339423979,477576.0
dw_0275_3,828575.0,120380.0,20164.0,3.0,-0.7875854099319436,521.6451611951088,410.84011811886455,1232.5203543565935,2177712.0
dw_0190_1,811524.0,103329.0,3113.0,1.0,-0.9789983401004824,210.98888900266496,206.55777211325392,206.55777211325392,1008612.0
dw_0038_1,816988.0,108793.0,8577.0,1.0,-0.876040580329635,486.975410926227,426.6102215940744,426.6102215940744,2778948.0
dw_0079_2,822932.0,114737.0,14521.0,2.0,-0.8861887008076713,437.48019841821474,387.69000866531997,775.3800173306399,2352402.0
dw_0002_4,827634.0,119439.0,19223.0,4.0,-1.3895552078436357,349.9855982398158,486.3243107044064,1945.2972428176256,1557063.0
dw_0065_1,812192.0,103997.0,3781.0,1.0,-0.0767000635833665,333.98313603510593,25.61652776966477,25.61652776966477,1225044.0
dw_0064_1,819152.0,110957.0,10741.0,1.0,-1.820762623232616,501.97465356425386,913.9766870199345,913.9766870199345,3480084.0
dw_0139_1,809072.0,100877.0,661.0,1.0,-0.8439995280964345,39.99789365078125,33.75820336611075,33.75820336611075,214164.0
dw_0097_3,822356.0,114161.0,13945.0,3.0,-1.4517063494309355,263.3234624961578,382.2683424598111,1146.8050273794333,1506060.0
dw_0188_4,816278.0,108083.0,7867.0,4.0,-0.6278826792985446,182.99176931633173,114.89736240791956,459.58944963167824,637227.0
dw_0141_1,818095.0,109900.0,9684.0,1.0,-0.8458568728953835,541.9726339275389,458.4312773288225,458.4312773288225,3137616.0
dw_0107_1,813268.0,105073.0,4857.0,1.0,-0.4942891358316079,343.9826311271238,170.02687748090875,170.02687748090875,1573668.0
dw_0077_5,828215.0,120020.0,19804.0,5.0,-1.2376006705624958,326.98488000892576,404.67670676284376,2023.383533814219,1283299.2
dw_0187_1,813879.0,105684.0,5468.0,1.0,-0.3520789646152435,446.97646153916264,157.3710097860936,157.3710097860936,1771632.0
dw_0016_3,825890.0,117695.0,17479.0,3.0,-1.1192490787118972,317.98618846939337,355.9057484874762,1067.7172454624288,1887732.0
dw_0144_5,835400.0,127205.0,26989.0,5.0,-1.2227155061032609,359.78459150192623,439.9141988864327,2199.5709944321634,1748887.2
dw_0023_1,814121.0,105926.0,5710.0,1.0,-0.6672289168498641,360.981772781161,240.8574772553178,240.8574772553178,1850040.0
dw_0145_5,830899.0,122704.0,22488.0,5.0,-1.1158479338610943,344.983588566688,384.94922451812465,1924.7461225906231,1457222.4000000001
dw_0290_4,824700.0,116505.0,16289.0,4.0,-0.8270949882447659,312.986138355034,258.8692664235315,1035.477065694126,1319409.0
dw_0245_3,827958.0,119763.0,19547.0,3.0,-1.6004999188209894,331.65185889167407,530.8087732329545,1592.4263196988636,2111076.0
dw_0192_4,816755.0,108560.0,8344.0,4.0,-1.1466690955320549,159.99343244042768,183.45952446753412,733.8380978701365,675864.0
dw_0012_4,824389.0,116194.0,15978.0,4.0,-0.5406179262064009,325.2369821412957,175.82894281085552,703.3157712434221,1294218.0
dw_0043_1,814014.0,105819.0,5603.0,1.0,-1.0265124723198322,371.9804109448454,381.84253129354045,381.84253129354045,1815372.0
dw_0193_4,828889.0,120694.0,20478.0,4.0,-1.3648693910040073,345.736219482666,471.88478333333416,1887.5391333333366,1658718.0
dw_0009_4,817474.0,109279.0,9063.0,4.0,-0.999503616423956,203.99162512668033,203.89036703431694,815.5614681372678,734103.0
dw_0133_1,811736.0,103541.0,3325.0,1.0,-1.4886965775114107,195.98967888571642,291.76916418472643,291.76916418472643,1077300.0
dw_0253_5,830932.0,122737.0,22521.0,5.0,-0.8619562003591479,327.98511683014976,282.7088050772671,1413.5440253863353,1459360.8
dw_0234_2,815603.0,107408.0,7192.0,2.0,-0.9536182659553336,176.49350591403632,168.30743106212074,336.6148621242415,1165104.0
dw_0182_5,831551.0,123356.0,23140.0,5.0,-1.0355888007330083,342.9843968448125,355.1908001986536,1775.954000993268,1499472.0
dw_0184_5,825035.0,116840.0,16624.0,5.0,-0.8538143611463826,297.58553197020484,254.0828008655469,1270.4140043277343,1077235.2
dw_0147_1,812272.0,104077.0,3861.0,1.0,-0.874941392265652,219.9888920004613,192.47738744986177,192.47738744986177,1250964.0
dw_0008_1,812264.0,104069.0,3853.0,1.0,-0.2675612216359117,331.98251729406417,88.82564788896498,88.82564788896498,1248372.0
dw_0125_1,811564.0,103369.0,3153.0,1.0,-0.6037377314502688,191.99030574520447,115.91179165105325,115.91179165105325,1021572.0
dw_0068_1,812345.0,104150.0,3934.0,1.0,-0.6037839875394867,295.9844130090791,178.7106491361561,178.7106491361561,1274616.0
dw_0262_1,813766.0,105571.0,5355.0,1.0,-1.258909896144226,293.9851556718208,370.10082179475603,370.10082179475603,1735020.0
dw_0196_4,821313.0,113118.0,12902.0,4.0,-0.8182069675946486,251.24006049186187,205.56636803334237,822.2654721333695,1045062.0
dw_0242_1,813364.0,105169.0,4953.0,1.0,-0.3683308324175336,377.9809144351982,139.2220248518571,139.2220248518571,1604772.0
dw_0160_3,825254.0,117059.0,16843.0,3.0,-0.8709589391014964,377.65066354358106,328.9182212708935,986.7546638126805,1819044.0
