,wet_cell_count,diff_topo,diff_no_breach,num_breaches,mean_depth,mean_distance,mean_breach_area,total_breach_area,inundation_per_breach (m**2)
d_0084_6,834133.0,125938.0,25722.0,6.0,-0.8618711579600099,329.7651316105655,284.2150558360332,1705.2903350161992,1388988.0
d_0092_6,838679.0,130484.0,30268.0,6.0,-1.1616888197161481,329.7651316105655,383.0844665242181,2298.506799145309,1634472.0
d_0160_6,837222.0,129027.0,28811.0,6.0,-1.0424298978571183,329.7651316105655,343.75703246164096,2062.542194769846,1555794.0
d_0195_6,837351.0,129156.0,28940.0,6.0,-1.3042018288555752,329.7651316105655,430.08028773929897,2580.481726435794,1562760.0
d_0088_6,833741.0,125546.0,25330.0,6.0,-0.9178143931324123,329.7651316105655,302.66318414538125,1815.9791048722875,1367820.0
d_0010_6,837120.0,128925.0,28709.0,6.0,-0.985829823697174,329.7651316105655,325.0923015571192,1950.553809342715,1550286.0
d_0134_6,834556.0,126361.0,26145.0,6.0,-0.8951541991061243,329.7651316105655,295.19064227998143,1771.1438536798887,1411830.0
d_0154_6,838513.0,130318.0,30102.0,6.0,-1.1108806799551514,329.7651316105655,366.329713629045,2197.97828177427,1625508.0
d_0082_6,837466.0,129271.0,29055.0,6.0,-1.1211915095537548,329.7651316105655,369.72986570864254,2218.379194251855,1568970.0
d_0175_6,835857.0,127662.0,27446.0,6.0,-0.8963743135927603,329.7651316105655,295.5929934942469,1773.5579609654815,1482084.0
d_0203_6,839099.0,130904.0,30688.0,6.0,-1.3956362982049875,329.7651316105655,460.23218755805016,2761.393125348301,1657152.0
d_0404_6,834725.0,126530.0,26314.0,6.0,-0.7188039459919743,329.7651316105655,237.03647785223723,1422.2188671134234,1420956.0
d_0057_6,833556.0,125361.0,25145.0,6.0,-0.7883685864503738,329.7651316105655,259.97647066844297,1559.8588240106578,1357830.0
d_0096_6,837742.0,129547.0,29331.0,6.0,-1.4141139537462053,329.7651316105655,466.3254740694545,2797.952844416727,1583874.0
d_0276_6,833561.0,125366.0,25150.0,6.0,-0.9565414514799394,329.7651316105655,315.4340176382436,1892.6041058294613,1358100.0
d_0180_6,834306.0,126111.0,25895.0,6.0,-0.782070784217816,329.7651316105655,257.89967508636624,1547.3980505181976,1398330.0
d_0386_6,832969.0,124774.0,24558.0,6.0,-0.7210016171023791,329.7651316105655,237.7611931551966,1426.5671589311796,1326132.0
d_0372_6,836344.0,128149.0,27933.0,6.0,-0.7706249981583442,329.7651316105655,254.12525394007815,1524.7515236404688,1508382.0
d_0017_6,835073.0,126878.0,26662.0,6.0,-1.053940718376755,329.7651316105655,347.5528997052446,2085.3173982314675,1439748.0
