,inundation,breach_area,simulation_name,num_breaches
130,26.416368,0.0073829906412074976,loc_0054_0023,23.0
131,47.701548,0.06847010452263252,loc_0301_225,225.0
132,38.413116,0.01691457842567203,loc_0222_64,64.0
133,48.228696,0.08506513817503379,loc_0350_257,257.0
134,41.461632,0.02903232364011503,loc_0252_82,82.0
135,38.681712,0.021759777253610637,loc_0265_62,62.0
136,33.741036,0.013603628764607509,loc_0256_35,35.0
137,47.943576,0.06676605121279573,loc_0246_200,200.0
138,34.899012,0.013227113108208505,loc_0084_0035,35.0
139,45.996336,0.05120977251121588,loc_0264_161,161.0
140,46.35792,0.047923983247887374,loc_0263_150,150.0
141,19.544004,0.005183988757433232,loc_0087_0014,14.0
142,37.674396,0.017768956374777357,loc_0206_54,54.0
143,34.947936,0.012061590929856196,loc_0268_42,42.0
144,44.413272,0.050068165578151004,loc_0342_148,148.0
145,39.115224,0.02217782612011605,loc_0217_61,61.0
146,46.953432,0.05030785347692988,loc_0398_153,153.0
147,47.329596,0.06826577656220166,loc_0382_219,219.0
148,45.068724,0.053750782806016265,loc_0391_150,150.0
149,39.145032,0.018961961703327,loc_0240_56,56.0
150,48.353112,0.0721174504816426,loc_0349_204,204.0
151,46.71918,0.053807363924099495,loc_0364_174,174.0
152,21.658104,0.00467356805574719,loc_0097_0014,14.0
153,23.60988,0.005133952251493837,loc_0078_0020,20.0
154,47.415132,0.05444738366443825,loc_0370_173,173.0
155,38.230056,0.01847041165713832,loc_0289_61,61.0
156,45.03438,0.04291722083598205,loc_0399_133,133.0
157,43.668396,0.035548155436354895,loc_0312_113,113.0
158,33.800004,0.0133253339119666,loc_0060_0040,40.0
159,46.120752,0.051584667508791315,loc_0379_151,151.0
160,34.479108,0.0191137918253369,loc_0010_0045,45.0
161,19.269576,0.005859024192926355,loc_0081_0015,15.0
162,35.029584,0.016036947642098825,loc_0385_48,48.0
163,39.60414,0.025715569442177368,loc_0358_87,87.0
164,32.686416,0.011885546568532092,loc_0086_0037,37.0
165,45.937044,0.043120693339775036,loc_0310_139,139.0
167,22.384836,0.006404726884172711,loc_0005_0019,19.0
168,30.435912,0.00881188937812373,loc_0033_0037,37.0
169,42.622848,0.03099056878238818,loc_0220_95,95.0
170,36.159372,0.014786296517928258,loc_0039_0047,47.0
171,44.653032,0.046075479901815826,loc_0373_134,134.0
172,28.451412,0.010522940003801244,loc_0008_0032,32.0
173,39.118464,0.019483863787037183,loc_0292_72,72.0
175,48.653136,0.09584685576419665,loc_0316_290,290.0
176,45.541116,0.052329186719310784,loc_0365_151,151.0
177,47.745612,0.07947160322129185,loc_0343_234,234.0
178,45.174672,0.036204343842392975,loc_0318_95,95.0
179,48.6405,0.09478972121042092,loc_0381_287,287.0
180,43.972956,0.03656409348638233,loc_0383_117,117.0
181,33.14358,0.01172085615917373,loc_0291_40,40.0
182,27.756108,0.0074532986770102895,loc_0223_26,26.0
183,43.246872,0.030934382936956356,loc_0302_96,96.0
184,48.490164,0.08358586848966357,loc_0218_252,252.0
186,47.684376,0.06917418863398299,loc_0284_196,196.0
187,36.326232,0.019728367220792964,loc_0331_58,58.0
188,29.95704,0.010925208933762677,loc_0002_0030,30.0
189,48.371256,0.09347506563213237,loc_0228_293,293.0
190,42.496164,0.03427118003211475,loc_0341_108,108.0
191,46.070856,0.045336034836298694,loc_0204_152,152.0
192,47.225592,0.06300017618754478,loc_0210_218,218.0
193,48.519648,0.08978840497908731,loc_0231_274,274.0
194,33.82236,0.012336342012934279,loc_0258_43,43.0
195,30.821472,0.008517036872085361,loc_0242_27,27.0
196,30.129408,0.010818747075156482,loc_0064_0029,29.0
197,29.600316,0.01084873704041508,loc_0048_0031,31.0
198,34.469712,0.01583699739198637,loc_0058_0046,46.0
199,26.915328,0.009578108518215842,loc_0045_0023,23.0
200,42.560316,0.031512827740413536,loc_0330_95,95.0
201,47.292012,0.0712054973275776,loc_0354_202,202.0
203,47.192868,0.06260909873431932,loc_0348_177,177.0
