,wet_cell_count,diff_topo,diff_no_breach,num_breaches,mean_depth,mean_distance,mean_breach_area,total_breach_area,inundation_per_breach (m**2)
w_0203_6,846653.0,138458.0,38242.0,6.0,-2.0,421.64656916278545,843.2931383255709,5059.758829953425,2065068.0
w_0437_6,824692.0,116497.0,16281.0,6.0,-2.0,155.32638315154313,310.65276630308625,1863.9165978185174,879174.0
w_0165_6,828493.0,120298.0,20082.0,6.0,-2.0,195.15774743611323,390.31549487222645,2341.8929692333586,1084428.0
w_0497_6,840455.0,132260.0,32044.0,6.0,-2.0,340.3169925014931,680.6339850029862,4083.8039100179167,1730376.0
w_0384_6,829859.0,121664.0,21448.0,6.0,-2.0,207.48999683198994,414.9799936639799,2489.879961983879,1158192.0
w_0511_6,824085.0,115890.0,15674.0,6.0,-2.0,164.1587030266424,328.3174060532848,1969.9044363197088,846396.0
w_0270_6,838826.0,130631.0,30415.0,6.0,-2.0,334.6507101156019,669.3014202312038,4015.8085213872228,1642410.0
w_0490_6,840721.0,132526.0,32310.0,6.0,-2.0,348.15008652978304,696.3001730595661,4177.8010383573965,1744740.0
w_0149_6,831143.0,122948.0,22732.0,6.0,-1.0,319.652388081025,319.652388081025,1917.9143284861498,1227528.0
w_0081_6,847775.0,139580.0,39364.0,6.0,-2.0,433.81318280133786,867.6263656026757,5205.758193616054,2125656.0
w_0435_6,848776.0,140581.0,40365.0,6.0,-2.0,491.1437869058368,982.2875738116736,5893.725442870042,2179710.0
w_0414_6,821685.0,113490.0,13274.0,6.0,-2.0,134.32696739376482,268.65393478752964,1611.923608725178,716796.0
w_0132_6,827012.0,118817.0,18601.0,6.0,-2.0,173.99206638066752,347.98413276133505,2087.90479656801,1004454.0
w_0189_6,835583.0,127388.0,27172.0,6.0,-2.0,285.8205496892547,571.6410993785094,3429.846596271056,1467288.0
w_0075_6,836547.0,128352.0,28136.0,6.0,-2.0,255.32140564263082,510.64281128526164,3063.85686771157,1519344.0
w_0151_6,836284.0,128089.0,27873.0,6.0,-2.0,276.9866994852434,553.9733989704868,3323.8403938229203,1505142.0
w_0120_6,838708.0,130513.0,30297.0,6.0,-1.5,398.1485191984215,597.2227787976323,3583.336672785794,1636038.0
w_0367_6,827594.0,119399.0,19183.0,6.0,-2.0,181.49143570842406,362.9828714168481,2177.8972285010886,1035882.0
w_0164_6,823754.0,115559.0,15343.0,6.0,-2.0,151.99266892257586,303.9853378451517,1823.9120270709104,828522.0
w_0098_6,829334.0,121139.0,20923.0,6.0,-2.0,206.49031757806884,412.9806351561377,2477.883810936826,1129842.0
w_0263_6,833315.0,125120.0,24904.0,6.0,-1.0,299.1523030602715,299.1523030602715,1794.913818361629,1344816.0
w_0267_6,826436.0,118241.0,18025.0,6.0,-2.0,167.82559697575402,335.65119395150805,2013.9071637090483,973350.0
w_0115_6,843569.0,135374.0,35158.0,6.0,-2.0,405.3143338769318,810.6286677538636,4863.7720065231815,1898532.0
w_0085_6,826285.0,118090.0,17874.0,6.0,-2.0,171.65837533857734,343.3167506771547,2059.900504062928,965196.0
w_0478_6,829356.0,121161.0,20945.0,6.0,-2.0,176.49209044563966,352.9841808912793,2117.905085347676,1131030.0
w_0390_6,825797.0,117602.0,17386.0,6.0,-2.0,164.65903772521935,329.3180754504387,1975.908452702632,938844.0
w_0009_6,824896.0,116701.0,16485.0,6.0,-2.0,173.82461004658933,347.64922009317866,2085.895320559072,890190.0
w_0381_6,825144.0,116949.0,16733.0,6.0,-2.0,157.15923417986104,314.3184683597221,1885.9108101583324,903582.0
w_0324_6,823708.0,115513.0,15297.0,6.0,-2.0,134.32674775493805,268.6534955098761,1611.9209730592565,826038.0
w_0262_6,823884.0,115689.0,15473.0,6.0,-2.0,153.49220503262737,306.98441006525474,1841.9064603915285,835542.0
w_0060_6,827552.0,119357.0,19141.0,6.0,-2.0,186.99119173765976,373.9823834753195,2243.8943008519173,1033614.0
w_0063_6,820402.0,112207.0,11991.0,6.0,-2.0,129.826799901606,259.653599803212,1557.9215988192718,647514.0
w_0477_6,830414.0,122219.0,22003.0,6.0,-2.0,203.3239264766729,406.6478529533458,2439.887117720075,1188162.0
w_0319_6,845333.0,137138.0,36922.0,6.0,-1.5,453.4792782039856,680.2189173059784,4081.3135038358705,1993788.0
w_0057_6,844076.0,135881.0,35665.0,6.0,-2.0,358.8162166022121,717.6324332044242,4305.794599226545,1925910.0
w_0082_6,833143.0,124948.0,24732.0,6.0,-2.0,239.82254454478303,479.64508908956606,2877.8705345373965,1335528.0
w_0006_6,847231.0,139036.0,38820.0,6.0,-2.0,434.3126448060454,868.6252896120908,5211.751737672545,2096280.0
w_0067_6,824223.0,116028.0,15812.0,6.0,-2.0,159.32615294180223,318.65230588360447,1911.913835301627,853848.0
w_0357_6,827822.0,119627.0,19411.0,6.0,-2.0,183.65815327999567,367.31630655999135,2203.897839359948,1048194.0
w_0170_6,817902.0,109707.0,9491.0,6.0,-2.0,98.82864962433244,197.65729924866488,1185.9437954919892,512514.0
w_0045_6,838864.0,130669.0,30453.0,6.0,-2.0,332.31883920519624,664.6376784103925,3987.826070462355,1644462.0
w_0174_6,831079.0,122884.0,22668.0,6.0,-2.0,215.49015260210365,430.9803052042073,2585.881831225244,1224072.0
w_0321_6,827448.0,119253.0,19037.0,6.0,-2.0,184.65781415291016,369.3156283058203,2215.893769834922,1027998.0
w_0425_6,833437.0,125242.0,25026.0,6.0,-2.0,241.15558832989768,482.31117665979536,2893.867059958772,1351404.0
w_0224_6,841014.0,132819.0,32603.0,6.0,-2.0,332.150544512811,664.301089025622,3985.806534153732,1760562.0
w_0526_6,832905.0,124710.0,24494.0,6.0,-2.0,267.48737349606085,534.9747469921217,3209.8484819527303,1322676.0
w_0503_6,836074.0,127879.0,27663.0,6.0,-2.0,315.81854099824113,631.6370819964823,3789.8224919788936,1493802.0
w_0346_6,833979.0,125784.0,25568.0,6.0,-2.0,248.15501801856144,496.31003603712287,2977.860216222737,1380672.0
w_0462_6,842700.0,134505.0,34289.0,6.0,-2.0,411.9807112884369,823.9614225768738,4943.768535461243,1851606.0
w_0125_6,831141.0,122946.0,22730.0,6.0,-2.0,217.15746904202675,434.3149380840535,2605.889628504321,1227420.0
w_0393_6,828526.0,120331.0,20115.0,6.0,-1.5,239.1553025757779,358.73295386366686,2152.3977231820013,1086210.0
w_0380_6,831508.0,123313.0,23097.0,6.0,-2.0,232.3232713709282,464.6465427418564,2787.8792564511386,1247238.0
w_0023_6,831223.0,123028.0,22812.0,6.0,-2.0,214.15639277258006,428.3127855451601,2569.876713270961,1231848.0
w_0468_6,830464.0,122269.0,22053.0,6.0,-2.0,228.3232993335389,456.6465986670778,2739.879592002467,1190862.0
w_0001_6,821616.0,113421.0,13205.0,6.0,-2.0,109.82794542494912,219.65589084989824,1317.9353450993895,713070.0
w_0138_6,828566.0,120371.0,20155.0,6.0,-2.0,178.49201010416996,356.9840202083399,2141.9041212500397,1088370.0
w_0084_6,831066.0,122871.0,22655.0,6.0,-2.0,252.15428313098195,504.3085662619639,3025.8513975717833,1223370.0
w_0172_6,833436.0,125241.0,25025.0,6.0,-1.5,300.15252983317373,450.2287947497606,2701.3727684985633,1351350.0
w_0486_6,843316.0,135121.0,34905.0,6.0,-2.0,374.8161361145414,749.6322722290828,4497.7936333744965,1884870.0
w_0207_6,843234.0,135039.0,34823.0,6.0,-2.0,400.9819741258825,801.963948251765,4811.78368951059,1880442.0
w_0186_6,842639.0,134444.0,34228.0,6.0,-2.0,344.8171866818725,689.634373363745,4137.80624018247,1848312.0
w_0054_6,827713.0,119518.0,19302.0,6.0,-2.0,202.32414228822196,404.6482845764439,2427.8897074586635,1042308.0
w_0193_6,831098.0,122903.0,22687.0,6.0,-2.0,216.48984498568294,432.9796899713659,2597.8781398281953,1225098.0
w_0505_6,834043.0,125848.0,25632.0,6.0,-2.0,255.32158546087638,510.64317092175276,3063.8590255305166,1384128.0
w_0427_6,842078.0,133883.0,33667.0,6.0,-2.0,367.9824745779908,735.9649491559816,4415.789694935889,1818018.0
