,wet_cell_count,diff_topo,diff_no_breach,mean_depth,mean_distance,depth / distance,distance / depth,area (m**2)
w144,827521.0,119326.0,19110.0,-2.0,192.3245696022815,0.010399087356004016,96.16228480114076,2307.8948352273783
w0176,847390.0,139195.0,38979.0,-2.0,460.812135549309,0.004340163475981181,230.4060677746545,5529.745626591708
w0059,838864.0,130669.0,30453.0,-2.0,332.31883920519624,0.006018316640679718,166.15941960259812,3987.826070462355
w193,824085.0,115890.0,15674.0,-2.0,164.1587030266424,0.012183332123886278,82.0793515133212,1969.9044363197088
w115,821775.0,113580.0,13364.0,-2.0,132.82664700518515,0.01505721965504351,66.41332350259258,1593.919764062222
w0160,839463.0,131268.0,31052.0,-2.0,360.8167414544054,0.005542980051142472,180.4083707272027,4329.800897452865
w0037,836074.0,127879.0,27663.0,-2.0,315.81854099824113,0.006332750425856531,157.90927049912057,3789.8224919788936
w108,823318.0,115123.0,14907.0,-2.0,134.66046651898202,0.014852168952779292,67.33023325949101,1615.9255982277841
w198,822782.0,114587.0,14371.0,-2.0,138.99337120373798,0.014389175416634642,69.49668560186899,1667.9204544448557
w0068,839009.0,130814.0,30598.0,-2.0,319.9857760661651,0.006250277823556912,159.99288803308255,3839.8293127939814
w2,830618.0,122423.0,22207.0,-2.0,214.65669421311324,0.00931720302193036,107.32834710655662,2575.880330557359
w206,823581.0,115386.0,15170.0,-2.0,129.4942202380556,0.015444704762292106,64.7471101190278,1553.930642856667
w0200,844921.0,136726.0,36510.0,-2.0,358.98280994882424,0.00557129741194325,179.49140497441212,4307.793719385891
w99,825048.0,116853.0,16637.0,-2.0,159.8260660324594,0.012513603379274917,79.9130330162297,1917.912792389513
w0015_1.5,832575.0,124380.0,24164.0,-1.5,286.6531828690284,0.005232804272350775,191.1021219126856,2579.8786458212558
w0073,842712.0,134517.0,34301.0,-2.0,375.6480906349928,0.005324131946522647,187.8240453174964,4507.777087619914
w0129,843297.0,135102.0,34886.0,-2.0,392.81542020662545,0.005091449818716324,196.40771010331272,4713.785042479505
w0106,830050.0,121855.0,21639.0,-2.0,220.15613783190383,0.00908446169021671,110.07806891595192,2641.873653982846
w194,824535.0,116340.0,16124.0,-2.0,140.9939092165279,0.01418500991364492,70.49695460826395,1691.9269105983349
w0027_1.5,845333.0,137138.0,36922.0,-1.5,453.4792782039856,0.0033077586388087724,302.31951880265706,4081.3135038358705
w0169,844801.0,136606.0,36390.0,-2.0,411.3143441670998,0.004862461103927568,205.6571720835499,4935.772130005198
